Scenario,Parameter,ActualParameter,Replicate,RunIndex,Algorithm,ElapsedMs
digits,2,2,3,2,I,123.189927
digits,2,2,3,3,I,126.665151
digits,2,2,3,1,Q,109.447656
digits,2,2,3,2,Q,109.276661
digits,2,2,3,3,Q,107.189285
digits,2,2,3,1,M,107.191826
digits,2,2,3,2,M,115.117992
digits,2,2,3,3,M,109.420233
digits,2,2,3,1,H,109.162821
digits,2,2,3,2,H,111.507012
digits,2,2,3,3,H,109.559031
digits,2,2,3,1,R,110.120553
digits,2,2,3,2,R,107.128894
digits,2,2,3,3,R,106.661661
digits,2,2,4,1,I,117.550747
digits,2,2,4,2,I,116.052577
digits,2,2,4,3,I,120.200519
digits,2,2,4,1,Q,114.88518
digits,2,2,4,2,Q,108.131667
digits,2,2,4,3,Q,117.337896
digits,2,2,4,1,M,106.427645
digits,2,2,4,2,M,102.060605
digits,2,2,4,3,M,113.100604
digits,2,2,4,1,H,106.321618
digits,2,2,4,2,H,105.46315
digits,2,2,4,3,H,107.922401
digits,2,2,4,1,R,107.971401
digits,2,2,4,2,R,109.668348
digits,2,2,4,3,R,106.606624
digits,2,2,5,1,I,115.676517
digits,2,2,5,2,I,117.544891
digits,2,2,5,3,I,116.179054
digits,2,2,5,1,Q,105.295877
digits,2,2,5,2,Q,107.373556
digits,2,2,5,3,Q,113.901343
digits,2,2,5,1,M,106.766771
digits,2,2,5,2,M,111.052295
digits,2,2,5,3,M,113.767162
digits,2,2,5,1,H,107.616309
digits,2,2,5,2,H,111.962296
digits,2,2,5,3,H,106.365623
digits,2,2,5,1,R,105.671495
digits,2,2,5,2,R,106.608702
digits,2,2,5,3,R,112.565495
digits,2,2,6,1,I,113.216984
digits,2,2,6,2,I,112.519781
digits,2,2,6,3,I,114.478055
digits,2,2,6,1,Q,104.997345
digits,2,2,6,2,Q,108.434765
digits,2,2,6,3,Q,105.675342
digits,2,2,6,1,M,106.809652
digits,2,2,6,2,M,114.314089
digits,2,2,6,3,M,108.50098
digits,2,2,6,1,H,112.840169
digits,2,2,6,2,H,104.262201
digits,2,2,6,3,H,106.878233
digits,2,2,6,1,R,104.693087
digits,2,2,6,2,R,111.941477
digits,2,2,6,3,R,107.919951
digits,2,2,7,1,I,115.836188
digits,2,2,7,2,I,134.581451
digits,2,2,7,3,I,131.376756
digits,2,2,7,1,Q,109.844312
digits,2,2,7,2,Q,113.495458
digits,2,2,7,3,Q,120.621563
digits,2,2,7,1,M,108.882768
digits,2,2,7,2,M,118.076804
digits,2,2,7,3,M,108.239581
digits,2,2,7,1,H,108.352847
digits,2,2,7,2,H,111.129753
digits,2,2,7,3,H,108.894961
digits,2,2,7,1,R,112.172612
digits,2,2,7,2,R,104.869605
digits,2,2,7,3,R,111.1393
digits,2,2,8,1,I,123.76887
digits,2,2,8,2,I,116.571642
digits,2,2,8,3,I,114.979027
digits,2,2,8,1,Q,108.248624
digits,2,2,8,2,Q,104.320009
digits,2,2,8,3,Q,116.823096
digits,2,2,8,1,M,114.765409
digits,2,2,8,2,M,109.993174
digits,2,2,8,3,M,121.487357
digits,2,2,8,1,H,113.976614
digits,2,2,8,2,H,111.715948
digits,2,2,8,3,H,109.551212
digits,2,2,8,1,R,105.250675
digits,2,2,8,2,R,112.149254
digits,2,2,8,3,R,108.22951
digits,3,3,1,1,I,126.160967
digits,3,3,1,2,I,124.336853
digits,3,3,1,3,I,116.67481
digits,3,3,1,1,Q,106.050492
digits,3,3,1,2,Q,104.900724
digits,3,3,1,3,Q,109.99188
digits,3,3,1,1,M,106.592737
digits,3,3,1,2,M,111.18801
digits,3,3,1,3,M,105.49179
digits,3,3,1,1,H,107.571578
digits,3,3,1,2,H,113.514514
digits,3,3,1,3,H,111.830965
digits,3,3,1,1,R,111.014397
digits,3,3,1,2,R,112.777537
digits,3,3,1,3,R,108.488391
digits,3,3,2,1,I,128.836675
digits,3,3,2,2,I,115.179424
digits,3,3,2,3,I,117.732216
digits,3,3,2,1,Q,108.342512
digits,3,3,2,2,Q,124.4047
digits,3,3,2,3,Q,98.834189
