Scenario,Parameter,Algorithm,Samples,MeanMs,StdMs,HalfWidthMs,PowerSatisfied,ActualParameterMean
duplicates,0.58,I,8,125.631836,5.262729,3.646818,True,0.58
duplicates,0.58,Q,8,115.443083,2.523943,1.748971,True,0.58
duplicates,0.58,M,8,115.424404,3.613059,2.503676,True,0.58
duplicates,0.58,H,8,116.96826,4.158236,2.881457,True,0.58
duplicates,0.58,R,8,114.080324,3.294887,2.283198,True,0.58
duplicates,0.59,I,8,126.455839,5.468805,3.789619,True,0.59
duplicates,0.59,Q,8,114.390806,2.881697,1.996877,True,0.59
duplicates,0.59,M,8,116.566822,3.943176,2.732432,True,0.59
duplicates,0.59,H,8,118.869195,7.517128,5.209008,True,0.59
duplicates,0.59,R,8,118.865429,4.816062,3.3373,True,0.59
duplicates,0.6,I,13,124.626326,6.024575,3.274936,True,0.6
duplicates,0.6,Q,13,115.21146,4.198441,2.282257,True,0.6
duplicates,0.6,M,13,114.806586,4.797531,2.60792,True,0.6
duplicates,0.6,H,13,116.080287,7.745457,4.210401,True,0.6
duplicates,0.6,R,13,116.868131,10.180702,5.534191,True,0.6
duplicates,0.61,I,8,121.100431,2.707246,1.875991,True,0.61
duplicates,0.61,Q,8,111.367666,2.553358,1.769354,True,0.61
duplicates,0.61,M,8,111.014537,2.950148,2.04431,True,0.61
duplicates,0.61,H,8,113.141809,3.699858,2.563823,True,0.61
duplicates,0.61,R,8,112.263941,2.659856,1.843153,True,0.61
duplicates,0.62,I,8,122.641259,2.835339,1.964754,True,0.62
duplicates,0.62,Q,8,112.282926,3.25354,2.254547,True,0.62
duplicates,0.62,M,8,115.365261,5.721231,3.964538,True,0.62
duplicates,0.62,H,8,113.717484,3.717466,2.576025,True,0.62
duplicates,0.62,R,8,113.866836,3.951604,2.738271,True,0.62
duplicates,0.63,I,21,127.048768,14.269928,6.103237,True,0.63
duplicates,0.63,Q,21,113.995783,3.264912,1.3964,True,0.63
duplicates,0.63,M,21,115.54344,6.706406,2.868325,True,0.63
duplicates,0.63,H,21,116.497876,4.209603,1.800444,True,0.63
duplicates,0.63,R,21,114.73478,3.709252,1.586444,True,0.63
duplicates,0.64,I,9,127.603267,5.97786,3.905464,True,0.64
duplicates,0.64,Q,9,115.653501,3.005058,1.963269,True,0.64
duplicates,0.64,M,9,119.822273,9.10109,5.945936,True,0.64
duplicates,0.64,H,9,119.085152,3.540748,2.313246,True,0.64
duplicates,0.64,R,9,115.857108,3.808761,2.488345,True,0.64
duplicates,0.65,I,8,123.561944,7.119261,4.933306,True,0.65
duplicates,0.65,Q,8,113.944254,6.045425,4.189189,True,0.65
duplicates,0.65,M,8,115.196935,7.061152,4.893039,True,0.65
duplicates,0.65,H,8,113.343384,2.870669,1.989235,True,0.65
duplicates,0.65,R,8,110.21611,2.002236,1.387453,True,0.65
duplicates,0.66,I,8,121.955048,3.580468,2.481092,True,0.66
duplicates,0.66,Q,8,114.026528,3.922224,2.717913,True,0.66
duplicates,0.66,M,8,112.667684,1.982095,1.373497,True,0.66
duplicates,0.66,H,8,113.663863,2.546815,1.76482,True,0.66
duplicates,0.66,R,8,112.898516,2.423061,1.679065,True,0.66
duplicates,0.67,I,8,122.115916,2.970841,2.05865,True,0.67
duplicates,0.67,Q,8,113.701656,3.159665,2.189496,True,0.67
duplicates,0.67,M,8,114.112737,3.20246,2.219151,True,0.67
duplicates,0.67,H,8,112.530951,2.046992,1.418467,True,0.67
duplicates,0.67,R,8,111.837571,2.916814,2.021212,True,0.67
duplicates,0.68,I,10,125.222611,8.800759,5.454667,True,0.68
duplicates,0.68,Q,10,113.091685,3.152466,1.953883,True,0.68
duplicates,0.68,M,10,112.673015,3.262034,2.021793,True,0.68
duplicates,0.68,H,10,112.643423,3.049502,1.890066,True,0.68
duplicates,0.68,R,10,114.657061,8.671801,5.374739,True,0.68
duplicates,0.69,I,8,124.773204,2.391357,1.657095,True,0.69
duplicates,0.69,Q,8,113.299704,3.441046,2.38448,True,0.69
duplicates,0.69,M,8,116.355449,5.958096,4.128674,True,0.69
duplicates,0.69,H,8,114.610055,3.224107,2.234151,True,0.69
duplicates,0.69,R,8,114.228052,3.617124,2.506493,True,0.69
duplicates,0.7,I,8,122.900491,1.773965,1.229273,True,0.7
duplicates,0.7,Q,8,115.443819,2.717534,1.88312,True,0.7
duplicates,0.7,M,8,112.970814,1.942412,1.345998,True,0.7
duplicates,0.7,H,8,113.233914,3.129377,2.168507,True,0.7
duplicates,0.7,R,8,112.865743,4.745614,3.288482,True,0.7
duplicates,0.71,I,8,126.511359,4.553852,3.1556,True,0.71
duplicates,0.71,Q,8,115.770725,3.575977,2.47798,True,0.71
duplicates,0.71,M,8,114.74524,1.691205,1.171924,True,0.71
duplicates,0.71,H,8,115.200939,4.462106,3.092025,True,0.71
duplicates,0.71,R,8,115.746452,2.700282,1.871165,True,0.71
duplicates,0.72,I,8,121.778795,3.057434,2.118655,True,0.72
duplicates,0.72,Q,8,114.865654,3.650907,2.529903,True,0.72
duplicates,0.72,M,8,114.529027,2.154055,1.492657,True,0.72
duplicates,0.72,H,8,116.771589,5.977892,4.142392,True,0.72
duplicates,0.72,R,8,111.14193,2.001215,1.386745,True,0.72
duplicates,0.73,I,8,122.595502,2.467506,1.709863,True,0.73
duplicates,0.73,Q,8,114.666183,5.656703,3.919823,True,0.73
duplicates,0.73,M,8,112.261652,3.861307,2.6757,True,0.73
duplicates,0.73,H,8,111.851903,1.650195,1.143506,True,0.73
duplicates,0.73,R,8,114.038821,4.381878,3.036431,True,0.73
duplicates,0.74,I,21,124.489374,3.461558,1.480506,True,0.74
duplicates,0.74,Q,21,113.899926,2.258091,0.965784,True,0.74
duplicates,0.74,M,21,117.222123,13.562691,5.800752,True,0.74
duplicates,0.74,H,21,115.011277,3.566922,1.52557,True,0.74
duplicates,0.74,R,21,113.881407,5.802912,2.481901,True,0.74
duplicates,0.75,I,8,122.219919,3.150958,2.183463,True,0.75
